ghsa_id,cve_id,severity,summary,cwe_ids,ecosystems,packages,vulnerable_version_ranges,first_patched_versions,published_at,updated_at,html_url
GHSA-8hm4-r66f-29wr,CVE-2026-52841,low,Easy!Appointments: Authorization bypass in Google OAuth provider binding lets any backend user rebind a peer provider's Google sync,CWE-639,composer,alextselegidis/easyappointments,<= 1.5.2,,2026-07-29T16:29:26Z,2026-07-29T16:29:27Z,https://github.com/advisories/GHSA-8hm4-r66f-29wr
GHSA-xgr6-pqjv-3pf8,CVE-2026-52837,medium,Easy!Appointments has unauthenticated customer PII disclosure on booking reschedule page,CWE-200; CWE-639,composer,alextselegidis/easyappointments,<= 1.5.2,,2026-07-29T16:28:23Z,2026-07-29T16:28:25Z,https://github.com/advisories/GHSA-xgr6-pqjv-3pf8
GHSA-w8xc-8g92-v77h,CVE-2026-52839,low,Easy!Appointments appointments/store and appointments/update allow cross-provider appointment injection — Authorization Bypass,CWE-639; CWE-862,composer,alextselegidis/easyappointments,<= 1.5.2,1.6.0,2026-07-29T16:26:25Z,2026-07-29T16:26:27Z,https://github.com/advisories/GHSA-w8xc-8g92-v77h
GHSA-pm5p-7w5h-jm5q,CVE-2026-52840,low,Easy!Appointments has server-side request forgery in CalDAV connection test that exposes the deployment's internal network,CWE-918,composer,alextselegidis/easyappointments,<= 1.5.2,,2026-07-29T16:24:27Z,2026-07-29T16:24:30Z,https://github.com/advisories/GHSA-pm5p-7w5h-jm5q
GHSA-4vmm-5qvc-w5p7,CVE-2026-55651,high,Easy!Appointments Vulnerable to Appointments Takeover via Excessive Data Exposure,CWE-200,composer,alextselegidis/easyappointments,= 1.5.2,,2026-07-29T16:22:17Z,2026-07-29T16:22:19Z,https://github.com/advisories/GHSA-4vmm-5qvc-w5p7
GHSA-wchh-9x6h-7f6p,,medium,olm dependency deprecation: CVE-2022-39255 and CVE-2024-45193,CWE-1395,pip,matrix-commander,<= 8.0.6,,2026-07-29T16:11:45Z,2026-07-29T16:11:49Z,https://github.com/advisories/GHSA-wchh-9x6h-7f6p
GHSA-m4x6-gwgp-4pm7,CVE-2026-11393,high,AgentCore CLI Bedrock Agent Import Vulnerable to Code Injection via Improper Triple-Quote Escaping,CWE-94,npm,@aws/agentcore; @aws/agentcore; @aws/agentcore,">= 0.4.0, < 0.14.2; >= 0.3.0-preview.7.0, <= 0.3.0-preview.9.0; >= 1.0.0-preview.1, < 1.0.0-preview.9",0.14.2; 1.0.0-preview.9,2026-07-29T16:10:46Z,2026-07-29T16:10:49Z,https://github.com/advisories/GHSA-m4x6-gwgp-4pm7
GHSA-4p3g-4hcj-wpvx,CVE-2026-54735,critical,prebid-server's request forgery vulnerability allows for possible host environment data extraction,CWE-918,go,github.com/prebid/prebid-server/v4; github.com/prebid/prebid-server/v3; github.com/prebid/prebid-server/v2; github.com/prebid/prebid-server,< 4.4.0; <= 3.30.0; <= 2.32.0; <= 0.275.0,4.4.0,2026-07-29T16:00:36Z,2026-07-29T16:00:36Z,https://github.com/advisories/GHSA-4p3g-4hcj-wpvx
GHSA-qcxp-gm7m-4j5v,CVE-2026-50559,high,Quarkus: Authentication/Authorization Bypass via Advanced Path Normalization Vulnerabilities,CWE-41; CWE-178; CWE-287; CWE-551; CWE-863,maven,io.quarkus:quarkus-vertx-http; io.quarkus:quarkus-vertx-http; io.quarkus:quarkus-vertx-http; io.quarkus:quarkus-vertx-http; io.quarkus:quarkus-vertx-http,"< 3.20.6.2; >= 3.21.0.CR1, < 3.27.4.1; >= 3.28.0.CR1, < 3.33.2.1; >= 3.34.0.CR1, < 3.36.3; >= 3.37.0.CR1, < 3.37.0",3.20.6.2; 3.27.4.1; 3.33.2.1; 3.36.3; 3.37.0,2026-07-29T15:40:05Z,2026-07-29T15:40:06Z,https://github.com/advisories/GHSA-qcxp-gm7m-4j5v
GHSA-pc2w-4mq8-32qw,,low,@dynatrace-oss/dynatrace-mcp-server's create_dynatrace_notebook missing the human-approval gate,CWE-862,npm,@dynatrace-oss/dynatrace-mcp-server,< 1.8.7,1.8.7,2026-07-29T15:36:19Z,2026-07-29T15:36:20Z,https://github.com/advisories/GHSA-pc2w-4mq8-32qw
GHSA-f42x-p2mx-hm8r,CVE-2026-50558,medium,Penelope unsafe tar extraction allows arbitrary local file write via crafted session archive,CWE-22,pip,penelope-shell-handler,< 0.20.0,0.20.0,2026-07-29T15:34:16Z,2026-07-29T15:34:16Z,https://github.com/advisories/GHSA-f42x-p2mx-hm8r
GHSA-px9f-whj3-246m,CVE-2026-49756,medium,Req vulnerable to multipart form-data header injection via unescaped name/filename/content_type,CWE-93,erlang,req,">= 0.5.3, < 0.6.0",0.6.0,2026-07-29T15:29:14Z,2026-07-29T15:29:15Z,https://github.com/advisories/GHSA-px9f-whj3-246m
GHSA-655f-mp8p-96gv,CVE-2026-49755,high,Req vulnerable to unbounded archive/compression extraction triggered by response content-type,CWE-409,erlang,req,">= 0.1.0, < 0.6.1",0.6.1,2026-07-29T15:23:16Z,2026-07-29T15:23:18Z,https://github.com/advisories/GHSA-655f-mp8p-96gv
GHSA-7c26-995w-6f47,CVE-2026-54081,medium,veraPDF Parser DoS via PostScript Type 1 Font Programs,CWE-1325,maven,org.verapdf:parser; org.verapdf:parser,"<= 1.30.1; >= 1.31.1, <= 1.31.22",1.30.2; 1.31.23,2026-07-29T15:19:04Z,2026-07-29T15:19:06Z,https://github.com/advisories/GHSA-7c26-995w-6f47
GHSA-jrmc-qg6p-94fp,CVE-2026-54080,medium,veraPDF Parser DoS via PostScript CMap Streams,CWE-1325,maven,org.verapdf:parser; org.verapdf:parser,"<= 1.30.1; >= 1.31.1, <= 1.31.22",1.30.2; 1.31.23,2026-07-29T15:17:32Z,2026-07-29T15:17:33Z,https://github.com/advisories/GHSA-jrmc-qg6p-94fp
GHSA-cg9x-g3gm-h5h6,CVE-2026-54082,medium,veraPDF-validatio: Use of Default `DocumentBuilderFactory` leads to XXE When Processing Untrusted PDFs,CWE-611,maven,org.verapdf:validation-model; org.verapdf:validation-model; org.verapdf:validation-model-jakarta; org.verapdf:validation-model-jakarta,">= 1.17.35, <= 1.30.1; >= 1.31.1, <= 1.31.70; >= 1.17.35, <= 1.30.1; >= 1.31.1, <= 1.31.70",1.30.2; 1.31.71; 1.30.2; 1.31.71,2026-07-29T15:14:32Z,2026-07-29T15:14:32Z,https://github.com/advisories/GHSA-cg9x-g3gm-h5h6
GHSA-3jh7-wm29-q568,CVE-2026-54078,high,veraPDF Validation XXE via Rich Text,CWE-611,maven,org.verapdf:validation-model; org.verapdf:validation-model; org.verapdf:validation-model-jakarta; org.verapdf:validation-model-jakarta,">= 1.25.73, <= 1.30.1; >= 1.31.1, <= 1.31.70; >= 1.25.73, <= 1.30.1; >= 1.31.1, <= 1.31.70",1.30.2; 1.31.71; 1.30.2; 1.31.71,2026-07-29T15:11:43Z,2026-07-29T15:11:47Z,https://github.com/advisories/GHSA-3jh7-wm29-q568
GHSA-36mm-w85j-3q2j,CVE-2026-54079,high,veraPDF Validation XXE via XFA,CWE-611,maven,org.verapdf:validation-model; org.verapdf:validation-model; org.verapdf:validation-model-jakarta; org.verapdf:validation-model-jakarta,">= 1.17.35, <= 1.30.1; >= 1.31.1, <= 1.31.70; >= 1.17.35, <= 1.30.1; >= 1.31.1, <= 1.31.70",1.30.2; 1.31.71; 1.30.2; 1.31.71,2026-07-29T15:08:17Z,2026-07-29T15:08:18Z,https://github.com/advisories/GHSA-36mm-w85j-3q2j
GHSA-w284-33mx-6g9v,CVE-2026-54666,high,swagger-typescript-api vulnerable to code injection via unescaped OpenAPI path strings in generated method bodies,CWE-74; CWE-94; CWE-1336,npm,swagger-typescript-api,<= 13.12.1,13.12.2,2026-07-29T14:35:02Z,2026-07-29T14:35:03Z,https://github.com/advisories/GHSA-w284-33mx-6g9v
GHSA-5f94-x226-ccpm,CVE-2026-54664,high,swagger-typescript-api vulnerable to code injection via unescaped enum string values,CWE-74; CWE-94; CWE-1336,npm,swagger-typescript-api,<= 13.12.1,13.12.2,2026-07-29T14:33:00Z,2026-07-29T14:33:02Z,https://github.com/advisories/GHSA-5f94-x226-ccpm
